HAP,SUR,SAD,DIS,ANG,FEA
1.39,1.67,2.45,4.06,4.29,2.1
1.52,4.45,2.26,3.03,3.16,2.9
1.61,3.97,2.39,3.71,3.19,2.74
1.55,4,2.42,3.55,3.58,3.06
4.45,1.1,1.29,1.26,1.19,1.19
4.19,1.65,1.48,1.32,1.29,1.35
2.23,1.84,2.06,2.35,2.87,1.87
2.32,1.68,2.23,2.35,2.68,1.84
2.03,1.68,2.16,2.39,2.81,1.81
1.48,1.84,4.23,2.74,2.55,2.29
1.42,1.74,4.26,3.06,2.52,2.48
1.48,1.77,3.9,3.29,2.81,2.42
2,4.68,1.77,1.65,1.81,2.03
2.1,4.58,1.84,2.03,2.19,2.1
2.42,4.74,1.84,1.87,1.94,2.06
1.26,1.48,1.87,4,4.68,1.55
1.26,1.52,3.32,4.52,4.13,2.74
1.26,2.03,3.03,4.61,4.35,2.97
1.26,2.26,2.48,4.61,3.68,2.58
1.32,2.43,3.1,4.39,2.26,3.1
1.61,2.29,2.52,4.71,2.68,3.19
1.23,4.1,4.06,3.26,2.32,4.26
1.35,4.65,3.32,3.97,2.42,4.52
1.42,2.84,3.65,3.29,2.16,4.06
4.52,1.58,1.32,1.26,1.1,1.23
4.32,1.42,1.61,1.52,1.48,1.48
4.65,1.45,1.32,1.29,1.19,1.29
2.9,1.74,2.65,1.9,1.87,1.87
3.48,1.55,2.19,1.55,1.68,1.58
2.97,1.71,2.39,1.61,1.81,1.84
1.65,1.74,4.23,2.74,2.13,2.68
1.39,1.61,4.52,2.71,1.77,2.61
1.26,1.65,4.84,2.52,2.13,2.23
1.84,4.94,2.35,2.52,2,3.29
2.32,4.97,1.65,1.9,1.81,2.26
1.97,4.9,2.23,2.39,2.13,3.03
1.19,1.61,2.55,3.65,4.45,1.71
1.45,1.67,2.39,3.32,4.52,1.71
1.32,1.61,2.61,3.23,4.48,1.94
1.32,1.58,3.03,4.29,3.65,1.87
1.45,1.81,3.19,4.19,3.16,2.77
1.43,1.77,2.87,3.87,4.33,2.1
1.61,4.1,2.68,3.81,3.16,3.9
1.68,3.74,3.1,3.58,3.19,3.87
1.48,3.39,3.26,3.06,2.71,3.74
4.77,1.42,1.35,1.13,1.13,1.16
4.65,1.29,1.47,1.32,1.23,1.1
4.48,1.48,1.42,1.55,1.32,1.35
2.68,1.61,2.1,2.03,2.19,1.68
2.84,1.87,2.29,2.45,2.65,2.03
2.77,1.84,2,2.23,2.32,2.61
1.52,1.77,4.03,3.03,2.65,2.94
1.29,1.39,3.74,3.23,3,2.29
1.71,1.84,3.16,3.19,3.48,2.58
4.32,3.32,1.48,1.39,1.35,1.39
2.68,4.52,1.45,2.03,1.9,2
2.39,4.48,1.55,1.84,1.97,1.81
2.55,1.81,2.16,1.94,2.16,1.94
2.03,1.61,2.29,2.35,2.71,1.87
1.68,1.84,3,3.65,3.17,2.58
2.67,1.77,2.67,3.1,2.3,2.21
2.45,1.52,1.94,2.61,2.16,1.65
1.55,3.65,3.61,2.71,1.84,3.87
2.29,3.84,2.29,2.32,1.94,2.29
1.9,4.52,2.03,1.87,1.87,2.61
4.29,1.45,1.55,1.26,1.39,1.23
4.39,2.1,1.42,1.26,1.32,1.23
4.19,1.84,1.45,1.35,1.42,1.39
3.03,1.77,2.32,1.77,1.74,1.68
3.29,1.84,2.23,1.68,1.68,1.71
3.19,1.71,2.26,1.74,1.87,1.71
2,1.67,3.77,1.77,1.77,2.29
2.48,1.81,2.68,1.9,1.97,1.84
2.03,1.94,3.48,2.16,1.87,2.77
2.68,4.94,1.65,1.45,1.48,1.77
2.9,4.8,1.53,1.37,1.43,1.57
2.65,4.94,1.77,1.52,1.65,1.9
1.42,1.77,3.19,4,4.06,2.58
1.39,1.74,2.58,3.48,4.13,1.94
1.55,1.77,2.16,3.32,4.16,1.94
1.35,2.19,1.81,4.81,3.16,2.39
1.55,2.32,2.39,4.65,3.23,2.32
1.35,1.9,2.39,4.55,3.1,2.87
1.42,3.29,3.06,4.16,2.52,3.45
1.45,3.13,2.77,4.39,2.32,3.1
1.35,3.35,3.06,4.19,2.39,3.42
4.32,1.26,1.52,1.13,1.13,1.26
4.35,1.13,1.65,1.26,1.13,1.55
4.61,1.52,1.68,1.32,1.29,1.45
2.84,1.87,2.58,1.87,1.84,1.84
3.06,1.52,2.32,1.71,1.84,1.68
2.97,1.42,1.9,1.52,1.61,1.32
1.68,1.45,4.1,2.23,1.74,2.29
1.48,1.45,4.23,2.52,1.84,2.48
1.61,1.55,3.87,3.03,2.35,2.48
1.65,4.61,2.77,2.87,2.1,3.74
2.03,4.58,2.03,1.94,1.87,2.81
1.77,4.77,2.52,2.13,2.03,3.32
1.39,1.71,3.23,3.9,4.16,2.19
1.45,1.58,2.35,3.1,4.23,1.81
1.58,1.74,2.81,3.1,3.61,2.03
1.37,2.3,2.93,4.2,2.8,3.33
1.45,1.77,3.26,4.32,2.84,2.77
1.35,1.52,3.23,4.39,3.39,2.84
1.42,2.16,3.45,2.48,2.37,3.03
1.74,2.32,3.16,2.48,2.42,2.68
1.77,2.55,3.26,2.45,2,3.06
3.42,1.61,2.52,1.55,1.55,1.61
3.84,1.52,1.97,1.45,1.42,1.61
4.13,1.42,1.81,1.32,1.26,1.55
2.32,1.97,2.29,1.97,2.06,1.87
2.1,1.68,2.35,1.9,2.23,1.87
2,1.71,2.42,2.35,2.26,2.06
1.35,1.58,3.65,3.55,3,2.32
1.52,1.55,3.84,3.55,2.61,2.58
1.35,1.35,3.55,3.06,2.48,2.26
2.52,3.61,2.29,1.94,1.74,2.26
1.84,4.26,2.65,2.13,1.77,2.61
1.97,4.45,2.65,1.81,1.9,2.42
1.19,1.55,2.16,2.84,4.74,1.39
1.68,1.45,2.26,2.9,4.13,1.61
1.55,1.68,2.32,3.16,4.77,1.87
1.35,2.45,2.9,4.81,2.65,3.32
1.13,2.37,2.13,4.63,3.03,3
1.23,2.61,3,4.65,2.74,3.68
1.23,3.16,4.26,3.26,2.13,4.03
1.26,3.74,4.19,3.42,2.16,4.26
1.29,3.48,3.52,3.42,2.03,3.35
1.29,4.52,3.13,3.45,2.55,4.19
4.9,1.29,1.39,1.29,1.32,1.35
4.87,1.32,1.32,1.13,1.19,1.16
2.71,1.45,2.97,2,1.9,1.94
2.73,1.87,2.67,2,1.97,2
3.03,1.74,2.45,1.9,2,1.77
1.45,1.52,4.61,2.13,1.55,2.39
1.65,1.77,4.26,2.61,1.94,2.77
1.55,1.35,4.32,2.74,1.71,2.55
2.48,4.87,1.55,1.58,1.65,1.81
2.74,4.45,1.48,1.42,1.39,1.68
2.35,4.87,1.81,1.71,1.81,2.29
4.84,1.35,1.42,1.23,1.23,1.23
